,#SampleID,ERR209679_1_kneaddata_taxonomic_profile,ERR209680_1_kneaddata_taxonomic_profile,ERR209681_1_kneaddata_taxonomic_profile,ERR209684_1_kneaddata_taxonomic_profile,ERR209685_1_kneaddata_taxonomic_profile,ERR209690_1_kneaddata_taxonomic_profile,ERR209691_1_kneaddata_taxonomic_profile,ERR209692_1_kneaddata_taxonomic_profile,ERR209693_1_kneaddata_taxonomic_profile,ERR209695_1_kneaddata_taxonomic_profile,ERR209696_1_kneaddata_taxonomic_profile,ERR209697_1_kneaddata_taxonomic_profile,ERR209698_1_kneaddata_taxonomic_profile,ERR209699_1_kneaddata_taxonomic_profile,ERR209700_1_kneaddata_taxonomic_profile,ERR209701_1_kneaddata_taxonomic_profile,ERR209706_1_kneaddata_taxonomic_profile,ERR209707_1_kneaddata_taxonomic_profile,ERR209708_1_kneaddata_taxonomic_profile,ERR209709_1_kneaddata_taxonomic_profile,ERR209710_1_kneaddata_taxonomic_profile,ERR209711_1_kneaddata_taxonomic_profile,ERR209715_1_kneaddata_taxonomic_profile,ERR209716_1_kneaddata_taxonomic_profile,ERR209717_1_kneaddata_taxonomic_profile,ERR209729_1_kneaddata_taxonomic_profile,ERR209730_1_kneaddata_taxonomic_profile,ERR209731_1_kneaddata_taxonomic_profile,ERR209732_1_kneaddata_taxonomic_profile,ERR209739_1_kneaddata_taxonomic_profile,ERR209740_1_kneaddata_taxonomic_profile,ERR209743_1_kneaddata_taxonomic_profile,ERR209744_1_kneaddata_taxonomic_profile,ERR209745_1_kneaddata_taxonomic_profile,ERR209746_1_kneaddata_taxonomic_profile
10,k__Bacteria|p__Actinobacteria,69.08549000000001,0.0,0.0,0.0,0.0,0.7320300000000001,0.0,7.33754,8.582989999999999,2.19578,3.25257,2.33969,8.72444,6.43925,0.09827999999999999,0.07178999999999999,1.00315,1.15665,11.92328,10.5922,2.71448,1.95812,19.08483,3.03552,3.57004,3.6277699999999995,3.2602900000000004,26.558090000000004,18.67247,13.252239999999999,12.31812,0.0,0.0,1.6538400000000002,1.1854200000000001
11,k__Bacteria|p__Actinobacteria|c__Actinobacteria,69.08549000000001,0.0,0.0,0.0,0.0,0.7320300000000001,0.0,7.33754,8.582989999999999,2.19578,3.25257,2.33969,8.72444,6.43925,0.09827999999999999,0.07178999999999999,1.00315,1.15665,11.92328,10.5922,2.71448,1.95812,19.08483,3.03552,3.57004,3.6277699999999995,3.2602900000000004,26.558090000000004,18.67247,13.252239999999999,12.31812,0.0,0.0,1.6538400000000002,1.1854200000000001
12,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,1.8238299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030600000000000002,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030600000000000002,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030600000000000002,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Actinomyces_graevenitzii,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030600000000000002,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Actinomyces_graevenitzii,0.2656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030600000000000002,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae,1.55824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia,1.55824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Rothia_dentocariosa,0.40963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Rothia_dentocariosa,0.40963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Rothia_mucilaginosa,0.16635999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Rothia_mucilaginosa,0.16635999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rothia_unclassified,0.98224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,64.27569,0.0,0.0,0.0,0.0,0.7320300000000001,0.0,7.060239999999999,8.251489999999999,1.38299,1.9781400000000002,1.4509100000000001,8.72444,6.43925,0.09827999999999999,0.07178999999999999,0.71175,0.80725,10.17601,9.47445,1.58754,1.20436,18.87345,2.31012,2.6735599999999997,3.61951,3.22349,25.99171,18.19665,11.09908,10.38467,0.0,0.0,0.0969,0.08616
27,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,64.27569,0.0,0.0,0.0,0.0,0.7320300000000001,0.0,7.060239999999999,8.251489999999999,1.38299,1.9781400000000002,1.4509100000000001,8.72444,6.43925,0.09827999999999999,0.07178999999999999,0.71175,0.80725,10.17601,9.47445,1.58754,1.20436,18.87345,2.31012,2.6735599999999997,3.61951,3.22349,25.99171,18.19665,11.09908,10.38467,0.0,0.0,0.0969,0.08616
28,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia,0.28493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Alloscardovia_omnicolens,0.28493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Alloscardovia_omnicolens,0.28493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,57.647490000000005,0.0,0.0,0.0,0.0,0.7320300000000001,0.0,7.05208,8.24479,1.38299,1.9781400000000002,1.4509100000000001,8.72444,6.43854,0.09827999999999999,0.07178999999999999,0.71175,0.80725,10.17601,9.47445,1.58754,1.20436,18.85828,2.31012,2.6735599999999997,3.61951,3.22349,25.99171,18.19665,11.09908,10.38467,0.0,0.0,0.0969,0.08616
32,Bifidobacterium_adolescentis,0.34121999999999997,0.0,0.0,0.0,0.0,0.44448999999999994,0.0,3.8741,4.56226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68809,0.78828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005370000000000001,0.0,0.0,0.0,2.14546,1.99393,0.0,0.0,0.0,0.0
33,Bifidobacterium_adolescentis,0.34121999999999997,0.0,0.0,0.0,0.0,0.44448999999999994,0.0,3.8741,4.56226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68809,0.78828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005370000000000001,0.0,0.0,0.0,2.14546,1.99393,0.0,0.0,0.0,0.0
34,Bifidobacterium_bifidum,0.0,0.0,0.0,0.0,0.0,0.02203,0.0,0.75216,0.9191299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9212,0.0012699999999999999,0.006,2.25727,1.9522599999999999,18.06946,12.70893,5.47497,4.6744699999999995,0.0,0.0,0.0,0.0
35,Bifidobacterium_bifidum,0.0,0.0,0.0,0.0,0.0,0.02203,0.0,0.75216,0.9191299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9212,0.0012699999999999999,0.006,2.25727,1.9522599999999999,18.06946,12.70893,5.47497,4.6744699999999995,0.0,0.0,0.0,0.0
36,Bifidobacterium_breve,10.09057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Bifidobacterium_breve,10.09057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Bifidobacterium_catenulatum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40066999999999997,0.4144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69375,0.5838300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61482,0.6460199999999999,0.0,0.0,0.0,0.0
39,Bifidobacterium_catenulatum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40066999999999997,0.4144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69375,0.5838300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61482,0.6460199999999999,0.0,0.0,0.0,0.0
40,Bifidobacterium_dentium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Bifidobacterium_dentium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Bifidobacterium_longum,6.31532,0.0,0.0,0.0,0.0,0.2655,0.0,2.02515,2.349,1.38299,1.9781400000000002,1.4509100000000001,8.72444,6.43854,0.09827999999999999,0.07178999999999999,0.0,0.0,1.0745,0.79104,1.15109,0.77967,0.32545,0.05363,0.07954,1.35686,1.2712299999999999,7.92225,5.4877199999999995,2.7260400000000002,2.91434,0.0,0.0,0.0969,0.08616
43,Bifidobacterium_longum,6.31532,0.0,0.0,0.0,0.0,0.2655,0.0,2.02515,2.349,1.38299,1.9781400000000002,1.4509100000000001,8.72444,6.43854,0.09827999999999999,0.07178999999999999,0.0,0.0,1.0745,0.79104,1.15109,0.77967,0.32545,0.05363,0.07954,1.35686,1.2712299999999999,7.92225,5.4877199999999995,2.7260400000000002,2.91434,0.0,0.0,0.0969,0.08616
44,Bifidobacterium_pseudocatenulatum,40.90038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366,0.018969999999999997,8.407760000000001,8.09958,0.43645,0.42468999999999996,12.36637,2.25522,2.58802,0.0,0.0,0.0,0.0,0.13777999999999999,0.1559,0.0,0.0,0.0,0.0
45,Bifidobacterium_pseudocatenulatum,40.90038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02366,0.018969999999999997,8.407760000000001,8.09958,0.43645,0.42468999999999996,12.36637,2.25522,2.58802,0.0,0.0,0.0,0.0,0.13777999999999999,0.1559,0.0,0.0,0.0,0.0
46,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella,0.71091,0.0,0.0,0.0,0.0,0.0,0.0,0.008159999999999999,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Gardnerella_vaginalis,0.71091,0.0,0.0,0.0,0.0,0.0,0.0,0.008159999999999999,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Gardnerella_vaginalis,0.71091,0.0,0.0,0.0,0.0,0.0,0.0,0.008159999999999999,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Parascardovia,1.45411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Parascardovia_denticolens,1.45411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Parascardovia_denticolens,1.45411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Scardovia,4.17824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Scardovia_wiggsiae,4.17824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Scardovia_wiggsiae,4.17824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,2.98597,0.0,0.0,0.0,0.0,0.0,0.0,0.2773,0.33127,0.8127800000000001,1.27443,0.8887799999999999,0.0,0.0,0.0,0.0,0.28834,0.34545,1.74727,1.11775,1.12694,0.75376,0.21138,0.7254,0.8964700000000001,0.00827,0.01043,0.56638,0.47583000000000003,2.1531599999999997,1.93345,0.0,0.0,1.55694,1.0992600000000001
56,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,2.98597,0.0,0.0,0.0,0.0,0.0,0.0,0.2773,0.33127,0.8127800000000001,1.27443,0.8887799999999999,0.0,0.0,0.0,0.0,0.28834,0.34545,1.74727,1.11775,1.12694,0.75376,0.21138,0.7254,0.8964700000000001,0.00827,0.01043,0.56638,0.47583000000000003,2.1531599999999997,1.93345,0.0,0.0,1.55694,1.0992600000000001
57,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020030000000000003,0.09197000000000001,0.11110999999999999,0.0,0.0,0.0,0.0,0.21519000000000002,0.18144000000000002,0.0,0.0,0.08186,0.06435
58,Adlercreutzia_equolifaciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020030000000000003,0.09197000000000001,0.11110999999999999,0.0,0.0,0.0,0.0,0.21519000000000002,0.18144000000000002,0.0,0.0,0.08186,0.06435
59,Adlercreutzia_equolifaciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020030000000000003,0.09197000000000001,0.11110999999999999,0.0,0.0,0.0,0.0,0.21519000000000002,0.18144000000000002,0.0,0.0,0.08186,0.06435
60,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium,2.93697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01138,0.0,0.0,0.0,0.0,0.0,0.0,0.00398,0.0034200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00827,0.01043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Atopobium_minutum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Atopobium_minutum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Atopobium_parvulum,2.4020799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398,0.0034200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00827,0.01043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Atopobium_parvulum,2.4020799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00398,0.0034200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00827,0.01043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Atopobium_rimae,0.53489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Atopobium_rimae,0.53489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
